Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C8",0402,6,100nF,
"C10, C9",0603,2,1uF,
"C11, C12",0402,2,4.7uF,
C6,0402,1,1nF,
C7,0402,1,10nF,
D1,SOT-143,1,PRTR5V0U2X,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D68, D7, D71, D73, D74, D75, D76, D8, D9",D_SOD-123,68,D_Small_Filled,
F1,1206,1,Polyfuse,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
R1,0402,1,10k,
SW1,CherryMX_1.00u_PCB,1,GRAVE,
SW10,CherryMX_1.00u_PCB,1,9,
SW11,CherryMX_1.00u_PCB,1,0,
SW12,CherryMX_1.00u_PCB,1,-,
SW13,CherryMX_1.00u_PCB,1,+,
SW14,CherryMX_2.00u_PCB_StabWireBottom,1,BSPC,
SW15,CherryMX_1.00u_PCB,1,DEL,
SW16,CherryMX_1.50u_PCB,1,TAB,
SW17,CherryMX_1.00u_PCB,1,Q,
SW18,CherryMX_1.00u_PCB,1,W,
SW19,CherryMX_1.00u_PCB,1,E,
SW2,CherryMX_1.00u_PCB,1,1,
SW20,CherryMX_1.00u_PCB,1,R,
SW21,CherryMX_1.00u_PCB,1,T,
SW22,CherryMX_1.00u_PCB,1,Y,
SW23,CherryMX_1.00u_PCB,1,U,
SW24,CherryMX_1.00u_PCB,1,I,
SW25,CherryMX_1.00u_PCB,1,O,
SW26,CherryMX_1.00u_PCB,1,P,
SW27,CherryMX_1.00u_PCB,1,[,
SW28,CherryMX_1.00u_PCB,1,],
SW29,CherryMX_1.00u_PCB,1,SPLIT_BS,
SW3,CherryMX_1.00u_PCB,1,2,
SW30,CherryMX_1.00u_PCB,1,PGUP,
SW31,CherryMX_1.75u_PCB_LED,1,CAPS,
SW32,CherryMX_1.00u_PCB,1,A,
SW33,CherryMX_1.00u_PCB,1,S,
SW34,CherryMX_1.00u_PCB,1,D,
SW35,CherryMX_1.00u_PCB,1,F,
SW36,CherryMX_1.00u_PCB,1,G,
SW37,CherryMX_1.00u_PCB,1,H,
SW38,CherryMX_1.00u_PCB,1,J,
SW39,CherryMX_1.00u_PCB,1,K,
SW4,CherryMX_1.00u_PCB,1,3,
SW40,CherryMX_1.00u_PCB,1,L,
SW41,CherryMX_1.00u_PCB,1,COLON,
SW42,CherryMX_1.00u_PCB,1,QUOTE,
SW43,CherryMX_1.50u_PCB,1,BSLS,
SW44,CherryMX_2.25u_PCB_StabWireBottom,1,ENTER,
SW45,CherryMX_1.00u_PCB,1,PGDN,
SW46,CherryMX_2.25u_PCB_StabWireBottom,1,LSFT,
SW47,CherryMX_1.00u_PCB,1,Z,
SW48,CherryMX_1.00u_PCB,1,X,
SW49,CherryMX_1.00u_PCB,1,C,
SW5,CherryMX_1.00u_PCB,1,4,
SW50,CherryMX_1.00u_PCB,1,V,
SW51,CherryMX_1.00u_PCB,1,B,
SW52,CherryMX_1.00u_PCB,1,N,
SW53,CherryMX_1.00u_PCB,1,M,
SW54,CherryMX_1.00u_PCB,1,COMMA,
SW55,CherryMX_1.00u_PCB,1,DOT,
SW56,CherryMX_1.00u_PCB,1,SLSH,
SW57,CherryMX_1.75u_PCB,1,RSFT,
SW58,CherryMX_1.00u_PCB,1,UP,
SW59,CherryMX_1.00u_PCB,1,END,
SW6,CherryMX_1.00u_PCB,1,5,
SW60,CherryMX_1.25u_PCB,1,LCTL,
SW61,CherryMX_1.25u_PCB,1,LGUI,
SW62,CherryMX_1.25u_PCB,1,LALT,
SW63,CherryMX_6.25u_PCB_StabWireTop,1,6.25U SPC,
SW64,CherryMX_1.25u_PCB,1,RALT,
SW65,CherryMX_1.25u_PCB,1,RCTL,
SW66,CherryMX_1.00u_PCB,1,LEFT,
SW67,CherryMX_1.00u_PCB,1,DOWN,
SW68,CherryMX_1.00u_PCB,1,RIGHT,
SW69,CherryMX_1.50u_PCB,1,1.5U LCTL,
SW7,CherryMX_1.00u_PCB,1,6,
SW70,CherryMX_1.00u_PCB,1,1U LGUI,
SW71,CherryMX_1.50u_PCB,1,1.5U LALT,
SW72,CherryMX_7.00u_PCB_StabWireTop,1,7U SPC,
SW73,CherryMX_1.50u_PCB,1,1.5U MO1,
SW74,CherryMX_1.00u_PCB,1,SPLIT_BSLS,
SW75,CherryMX_1.25u_PCB_LED,1,STEPPED CAPS,
"SW76, SW77",SW_SPST_SKQG_WithoutStem,2,SKQGABE010,
SW8,CherryMX_1.00u_PCB,1,7,
SW9,CherryMX_1.00u_PCB,1,8,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,
U2,SOT-23-3,1,XC6206P332MR,
