Designator,Mid X,Mid Y,Rotation,Layer
BOOT,22.91738,-19.1625,90.0,bottom
C1,35.566904,-42.5625,45.0,bottom
C10,15.51738,-37.6425,90.0,bottom
C11,27.566904,-39.5625,0.0,bottom
C2,33.51738,-41.1625,45.0,bottom
C3,31.51738,-40.3625,45.0,bottom
C4,27.51738,-40.7625,0.0,bottom
C5,22.31738,-50.5625,225.0,bottom
C6,31.51738,-54.1625,135.0,bottom
C7,34.366904,-43.1625,45.0,bottom
C8,1.966904,-46.6125,180.0,bottom
C9,10.99738,-34.5625,180.0,bottom
D1,2.51738,-50.3625,180.0,bottom
D10,153.925,-10.725,90.0,bottom
D11,172.975,-10.725,90.0,bottom
D12,192.025,-10.725,90.0,bottom
D13,211.075,-10.725,90.0,bottom
D14,230.125,-10.725,90.0,bottom
D15,249.21738,-10.5625,90.0,bottom
D16,287.275,-10.725,90.0,bottom
D17,22.31738,-29.7625,90.0,bottom
D18,30.1,-29.775,90.0,bottom
D19,49.15,-29.775,90.0,bottom
D2,5.841904,-14.2875,90.0,bottom
D20,68.2,-29.775,90.0,bottom
D21,87.25,-29.775,90.0,bottom
D22,106.3,-29.775,90.0,bottom
D23,125.35,-29.775,90.0,bottom
D24,144.4,-29.775,90.0,bottom
D25,163.45,-29.775,90.0,bottom
D26,182.5,-29.775,90.0,bottom
D27,201.55,-29.775,90.0,bottom
D28,220.6,-29.775,90.0,bottom
D29,239.65,-29.775,90.0,bottom
D3,20.575,-10.725,90.0,bottom
D30,284.21738,-12.5625,90.0,bottom
D31,287.275,-29.775,90.0,bottom
D32,6.91738,-51.7625,90.0,bottom
D33,50.71738,-48.7625,90.0,bottom
D34,53.31738,-48.7625,90.0,bottom
D35,72.645,-48.825,90.0,bottom
D36,91.695,-48.825,90.0,bottom
D37,110.745,-48.825,90.0,bottom
D38,129.795,-48.825,90.0,bottom
D39,148.845,-48.825,90.0,bottom
D4,39.625,-10.725,90.0,bottom
D40,167.895,-48.825,90.0,bottom
D41,186.945,-48.825,90.0,bottom
D42,205.995,-48.825,90.0,bottom
D43,225.045,-48.825,90.0,bottom
D44,262.96738,-31.5625,90.0,bottom
D45,256.31875,-48.825,90.0,bottom
D46,287.275,-48.825,90.0,bottom
D47,28.71738,-62.1625,270.0,bottom
D49,44.31738,-68.1625,90.0,bottom
D5,58.675,-10.725,90.0,bottom
D50,63.31738,-68.1625,90.0,bottom
D51,82.31738,-68.1625,90.0,bottom
D52,101.51738,-68.1625,90.0,bottom
D53,120.51738,-68.1625,90.0,bottom
D54,139.51738,-68.1625,90.0,bottom
D55,158.51738,-68.1625,90.0,bottom
D56,177.51738,-68.1625,90.0,bottom
D57,196.51738,-68.1625,90.0,bottom
D58,215.71738,-68.1625,90.0,bottom
D59,241.91738,-68.1625,90.0,bottom
D6,77.725,-10.725,90.0,bottom
D60,268.11738,-68.1625,90.0,bottom
D61,287.11738,-68.1625,90.0,bottom
D62,22.51738,-80.9625,270.0,bottom
D63,27.51738,-80.9625,270.0,bottom
D64,51.51738,-80.9625,270.0,bottom
D68,122.91738,-80.9625,270.0,bottom
D7,96.775,-10.725,90.0,bottom
D71,194.31738,-80.9625,270.0,bottom
D73,215.51738,-80.9625,270.0,bottom
D74,248.91738,-80.9625,270.0,bottom
D75,268.11738,-80.9625,270.0,bottom
D76,287.11738,-80.9625,270.0,bottom
D8,115.825,-10.725,90.0,bottom
D9,134.875,-10.725,90.0,bottom
F1,1.91738,-42.3625,270.0,bottom
J1,4.416904,-35.8125,180.0,bottom
LED1,16.71738,-52.5625,0.0,bottom
LED2,11.91738,-52.5625,180.0,bottom
R1,25.91738,-26.9625,0.0,bottom
R2,20.11738,-50.7625,180.0,bottom
RESET,29.31738,-19.1625,90.0,bottom
SW1,9.525,-9.525,0.0,top
SW10,180.975,-9.525,0.0,top
SW11,200.025,-9.525,0.0,top
SW12,219.075,-9.525,0.0,top
SW13,238.125,-9.525,0.0,top
SW14,266.7,-9.525,0.0,top
SW15,295.275,-9.525,0.0,top
SW16,14.2875,-28.575,0.0,top
SW17,38.1,-28.575,0.0,top
SW18,57.15,-28.575,0.0,top
SW19,76.2,-28.575,0.0,top
SW2,28.575,-9.525,0.0,top
SW20,95.25,-28.575,0.0,top
SW21,114.3,-28.575,0.0,top
SW22,133.35,-28.575,0.0,top
SW23,152.4,-28.575,0.0,top
SW24,171.45,-28.575,0.0,top
SW25,190.5,-28.575,0.0,top
SW26,209.55,-28.575,0.0,top
SW27,228.6,-28.575,0.0,top
SW28,247.65,-28.575,0.0,top
SW29,276.225,-9.525,180.0,top
